Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,2,0,953,49245,61556,0,0,0,1,4,4,2,2,4,0
2,4,0,959,49811,62263,0,0,0,1,4,4,3,3,4,1
4,8,0,991,51452,64315,0,0,0,1,4,4,3,3,4,2
2,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,3
4,6,0,0,100000,100000,0,0,0,1,2,2,1,1,4,4
6,8,0,960,150013,162516,0,0,0,2,6,6,1,1,4,5
1,6,1,990,51168,63959,0,0,0,1,6,6,2,2,4,0
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,1
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,2
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
2,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
0,1,1,998,151966,164957,0,0,0,2,4,4,1,1,4,6
