IRS,NIRS_1,NIRS_2,NIRS_3,NIRS_4,NIRS_5,Reject,Regular_IP,Regular_NIRS_1,Regular_NIRS_2,Regular_NIRS_3,Regular_NIRS_4,Regular_NIRS_5,Regular_Total_payment,Towards_Carrier_0,Towards_Carrier_1,Towards_Carrier_2,Total_Advertised_payment
2368,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2
0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4
0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2
0,0,0,2649,0,0,0,0,0,0,106,0,0,106,0,106,0,106
0,0,0,0,2868,0,0,0,0,0,0,106,0,106,0,106,0,106
2536,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,6
0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2
0,0,0,0,0,0,0,0,54,0,0,0,0,54,0,54,0,54
2923,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2
