Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,2,0,1421,76668,95835,469,469,469,1,54,4,2,2,4,0
1,0,0,2446,158659,176287,808,808,808,2,2,4,1,1,4,1
1,6,0,1320,75689,94611,436,436,436,1,106,6,3,3,4,2
8,10,0,2521,147529,184411,832,832,832,2,52,4,3,3,4,3
2,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,4
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,5
2,6,1,2620,151403,168225,865,865,865,2,56,12,1,1,4,0
4,7,1,1414,68333,85416,467,467,467,1,4,4,3,3,4,1
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,2
2,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
