ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,1,100,100,100,20,2,1,100,3,1,0,52.0,2.0,0->1,0->1,1,0,1,0
2,1,4,100,100,100,20,1,0,100,3,1,0,6.0,6.0,0->0,1->2->5->4,0,3,3,0
3,1,5,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,1->2->5,0,2,2,0
4,7,10,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,7->10,0,1,1,0
5,8,10,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,8->10,0,1,1,0
1,0,4,52,65,65,20,1,0,100,3,2,1014,2.0,2.0,0->0,0->4,0,1,1,1
2,4,5,50,62,62,20,1,0,100,3,3,964,8.0,8.0,0->0,4->6->9->8->5,0,4,4,1
3,0,5,116,129,129,20,1,0,100,3,1,1982,10.0,10.0,0->0,0->4->6->9->8->5,0,5,5,1
4,0,9,47,59,59,20,1,0,100,3,3,920,6.0,6.0,0->0,0->4->6->9,0,3,3,1
5,4,9,57,63,63,20,1,0,100,3,1,978,4.0,4.0,0->0,4->6->9,0,2,2,1
6,5,7,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,5->8->7,0,2,2,1
7,5,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,5->8->9,0,2,2,1
8,7,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,7->8->9,0,2,2,1
9,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,0->0,7->10,0,1,1,1
10,9,10,100,100,0,20,0,0,0,3,1,0,0.0,0.0,0->0,,0,0,0,1
11,1,4,100,100,100,20,2,1,100,4,1,0,54.0,4.0,1->3,1->3->4,1,1,2,1
12,2,4,100,100,100,20,2,3,100,4,1,0,104.0,4.0,"2->5, 5->4",2->5->4,2,0,2,1
13,7,8,130,163,163,20,1,0,100,4,2,2934,2.0,2.0,0->0,7->8,0,1,1,1
14,2,0,67,84,84,20,2,4,100,4,3,962,54.0,4.0,2->1,2->1->0,1,1,2,1
15,2,6,63,79,79,20,2,4,100,4,2,1147,58.0,8.0,2->1,2->1->0->4->6,1,3,4,1
16,6,8,44,55,0,20,0,0,0,4,2,980,0.0,0.0,0->0,,0,0,0,1
17,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,0->1,0,1,1,1
18,0,4,100,100,100,20,2,1,100,4,1,0,56.0,6.0,1->3,0->1->3->4,1,2,3,1
19,1,2,100,100,100,20,2,4,100,4,1,0,52.0,2.0,1->2,1->2,1,0,1,1
20,2,7,100,100,0,20,0,0,0,4,1,0,0.0,0.0,0->0,,0,0,0,1
