Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
1,6,0,2518,131024,163779,0,0,0,2,56,12,3,3,4,0
6,8,0,2466,128557,160696,0,0,0,2,54,8,3,3,4,1
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,2
0,2,1,947,49384,61730,0,0,0,1,4,4,3,3,4,0
4,8,1,2452,127904,159879,0,0,0,2,4,8,3,3,4,1
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,2
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
0,1,1,1003,151968,164959,0,0,0,2,4,4,1,1,4,6
2,4,1,1030,160363,167069,0,0,0,2,6,6,1,1,4,7
