Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
1,7,0,3102,125508,156885,1024,1024,1024,2,106,12,3,3,3,0
9,10,0,2812,155033,193791,928,928,928,2,4,8,2,2,3,1
0,5,0,1083,45292,56615,358,358,358,1,54,4,2,2,3,2
4,7,0,3107,155315,194143,1026,1026,1026,2,54,8,2,2,3,3
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,4
0,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,5
1,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,6
1,0,1,889,78154,86837,294,294,294,1,52,2,1,1,3,0
5,4,1,2250,123864,154829,743,743,743,2,52,4,3,3,3,1
5,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,2
