ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,4,95,95,95,20,1,0,100,3,1,0,2,2,0->0,0->4,0,1,1,0
2,1,5,95,95,95,20,2,2,100,3,1,0,104,4,"2->5, 1->2",1->2->5,2,0,2,0
3,4,5,95,95,95,20,1,0,100,3,1,0,2,2,0->0,4->5,0,1,1,0
4,0,1,163,170,170,20,1,0,100,3,1,1363,2,2,0->0,0->1,0,1,1,0
5,1,4,160,176,176,20,2,2,100,3,1,1311,106,6,"2->5, 1->2",1->2->5->4,2,1,3,0
6,0,1,55,61,61,20,1,0,100,4,1,952,2,2,0->0,0->1,0,1,1,0
7,0,2,51,64,64,20,2,2,100,4,2,997,54,4,1->2,0->1->2,1,1,2,0
8,4,6,100,100,100,20,1,0,100,4,1,0,2,2,0->0,4->6,0,1,1,0
1,1,5,60,75,75,20,1,0,100,3,2,1624,4,4,0->0,1->2->5,0,2,2,1
2,5,4,67,83,80,20,1,0,100,3,2,1418,2,2,0->0,5->4,0,1,1,1
3,5,9,145,161,161,20,1,0,100,3,1,2667,6,6,0->0,5->4->6->9,0,3,3,1
4,10,9,134,167,167,20,2,2,100,3,3,2449,104,4,"8->9, 10->8",10->8->9,2,0,2,1
5,5,7,95,95,95,20,1,0,100,3,1,0,2,2,0->0,5->7,0,1,1,1
6,7,10,95,95,95,20,2,2,100,3,1,0,56,6,8->10,7->5->8->10,1,2,3,1
7,1,6,57,63,63,20,2,1,100,4,1,976,60,10,8->9,1->2->5->8->9->6,1,4,5,1
8,4,8,143,159,159,20,1,0,100,4,1,2462,4,4,0->0,4->5->8,0,2,2,1
9,6,8,132,165,165,20,2,1,100,4,2,2553,54,4,9->8,6->9->8,1,1,2,1
10,0,1,100,100,100,20,1,0,100,4,1,0,2,2,0->0,0->1,0,1,1,1
11,0,4,100,100,100,20,1,0,100,4,1,0,2,2,0->0,0->4,0,1,1,1
12,1,2,100,100,100,20,1,0,100,4,1,0,2,2,0->0,1->2,0,1,1,1
13,1,4,100,100,100,20,1,0,100,4,1,0,4,4,0->0,1->0->4,0,2,2,1
14,2,7,100,100,100,20,1,0,100,4,1,0,4,4,0->0,2->5->7,0,2,2,1
15,2,4,147,158,158,20,1,0,100,4,1,912,6,6,0->0,2->1->0->4,0,3,3,1
