Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
4,8,0,967,56475,62749,0,0,0,1,4,4,1,1,4,0
2,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,1
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,2
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,3
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,4
0,2,1,991,51692,64614,0,0,0,1,4,4,2,2,4,0
1,6,1,2488,145152,161280,0,0,0,2,6,12,1,1,4,1
6,8,1,2565,132778,165972,0,0,0,2,56,12,2,2,4,2
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
0,1,1,921,147626,159532,0,0,0,2,4,4,1,1,4,6
2,4,1,1013,152507,165633,0,0,0,2,6,6,1,1,4,7
