Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,0
0,2,1,1025,75722,94652,339,339,339,1,4,4,3,3,4,0
2,8,1,2965,148190,185237,979,979,979,2,54,8,2,2,4,1
4,10,1,1203,73791,81989,397,397,397,1,8,8,1,1,4,2
6,7,1,2501,166129,184587,826,826,826,2,6,12,1,1,4,3
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,6
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,7
0,4,1,1411,175611,184012,466,466,466,2,8,8,1,1,4,8
2,4,1,1102,189267,199185,364,364,364,2,8,8,1,1,4,9
