Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
7,10,0,2307,162165,180183,762,762,762,2,52,4,1,1,3,0
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,1
4,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,2
4,9,0,0,100000,100000,0,0,0,1,2,2,1,1,3,3
0,5,1,2899,148920,186149,957,957,957,2,54,8,2,2,3,0
5,4,1,1071,78596,98244,354,354,354,1,2,2,3,3,3,1
0,1,1,1514,68146,75717,500,500,500,1,52,2,1,1,3,2
1,7,1,2657,147616,164017,877,877,877,2,156,12,1,1,3,3
5,7,1,1040,70258,87822,344,344,344,1,52,2,3,3,3,4
7,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
