ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,1,5,146,162,162,20,2,2,100,3,1,3011,104,4,"2->5, 1->2",1->2->5,2,0,2
2,1,4,211,234,213,20,2,3,100,3,1,3525,54,4,1->3,1->3->4,1,1,2
3,4,5,156,174,174,20,2,4,100,3,1,2934,52,2,4->5,4->5,1,0,1
4,4,9,158,176,176,20,1,0,100,3,1,2911,4,4,None,4->6->9,0,2,2
5,5,7,95,95,95,20,1,0,100,3,1,0,6,6,None,5->8->10->7,0,3,3
6,5,9,95,95,95,20,1,0,100,3,1,0,4,4,None,5->8->9,0,2,2
7,7,9,95,95,95,20,1,0,100,3,1,0,4,4,None,7->8->9,0,2,2
8,7,10,95,95,95,20,1,0,100,3,1,0,4,4,None,7->8->10,0,2,2
9,9,10,95,95,95,20,1,0,100,3,1,0,4,4,None,9->8->10,0,2,2
10,0,2,77,85,85,20,2,2,100,4,1,1324,54,4,1->2,0->1->2,1,1,2
11,1,6,70,87,87,20,2,3,100,4,3,1345,56,6,1->3,1->3->4->6,1,2,3
12,4,8,89,112,110,20,2,4,100,4,2,1735,54,4,4->5,4->5->8,1,1,2
13,6,8,87,109,109,20,1,0,100,4,2,1690,4,4,None,6->9->8,0,2,2
14,0,1,100,100,100,20,1,0,100,4,1,0,2,2,None,0->1,0,1,1
15,0,4,100,100,100,20,1,0,100,4,1,0,2,2,None,0->4,0,1,1
16,1,2,100,100,100,20,2,2,100,4,1,0,52,2,1->2,1->2,1,0,1
17,1,4,100,100,100,20,2,3,100,4,1,0,54,4,1->3,1->3->4,1,1,2
18,2,7,100,100,100,20,2,1,100,4,1,0,58,8,2->5,2->5->8->10->7,1,3,4
19,2,4,180,190,0,20,0,0,0,4,1,1382,0,0,None,None,0,0,0
