ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,4,143,159,159,20,1,0,100,3,1,2457,2.0,2.0,,0->4,0,1,1
2,0,5,200,223,223,20,1,0,100,3,1,3433,10.0,10.0,,0->4->6->9->8->5,0,5,5
3,4,5,148,164,164,20,1,0,100,3,1,2533,8.0,8.0,,4->6->9->8->5,0,4,4
4,4,9,146,162,0,20,0,0,0,3,1,2514,0,0,,,0,0,0
5,5,7,100,100,100,20,2,1,100,3,1,0,52.0,2.0,5->7,5->7,1,0,1
6,5,9,100,100,0,20,0,0,0,3,1,0,0,0,,,0,0,0
7,7,9,100,100,0,20,0,0,0,3,1,0,0,0,,,0,0,0
8,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,,7->10,0,1,1
9,9,10,100,100,0,20,0,0,0,3,1,0,0,0,,,0,0,0
10,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->1,0,1,1
11,0,2,77,85,85,20,2,2,100,4,1,1324,54.0,4.0,1->2,0->1->2,1,1,2
12,1,6,70,87,0,20,0,0,0,4,3,1345,0,0,,,0,0,0
13,4,8,89,112,112,20,2,3,100,4,2,1735,106.0,6.0,"4->5, 5->7",4->5->7->8,2,1,3
14,6,8,87,109,0,20,0,0,0,4,2,1690,0,0,,,0,0,0
15,0,4,100,100,100,20,2,4,100,4,1,0,56.0,6.0,1->3,0->1->3->4,1,2,3
16,1,2,100,100,100,20,2,2,100,4,1,0,52.0,2.0,1->2,1->2,1,0,1
17,1,4,100,100,100,20,2,4,100,4,1,0,54.0,4.0,1->3,1->3->4,1,1,2
18,2,7,100,100,0,20,0,0,0,4,1,0,0,0,,,0,0,0
19,2,4,180,190,190,20,2,5,100,4,1,1382,104.0,4.0,"2->5, 5->4",2->5->4,2,0,2
