Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,2,0,2545,132152,165190,0,0,0,2,54,8,2,2,4,0
1,6,0,2542,132744,165930,0,0,0,2,56,12,2,2,4,1
2,4,0,2398,124842,156052,0,0,0,2,56,12,2,2,4,2
4,8,0,2483,146093,162325,0,0,0,2,54,8,1,1,4,3
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,4
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,5
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,6
6,8,1,2556,132810,166012,0,0,0,2,54,8,2,2,4,0
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,1
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,2
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
