ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,5,128,160,160,20,2,1,100,3,2,2480,54,4,4->5,0->4->5,1,1,2
2,4,5,146,162,162,20,2,1,100,3,1,2518,52,2,4->5,4->5,1,0,1
3,4,9,132,165,165,20,1,0,100,3,3,2547,4,4,None,4->6->9,0,2,2
4,9,10,130,162,162,20,1,0,100,3,2,2506,4,4,None,9->8->10,0,2,2
5,5,7,100,100,100,20,2,2,100,3,1,0,52,2,5->7,5->7,1,0,1
6,7,10,100,100,100,20,1,0,100,3,1,0,2,2,None,7->10,0,1,1
7,0,2,86,95,95,20,2,3,100,4,1,995,54,4,1->2,0->1->2,1,1,2
8,2,8,144,180,145,20,2,4,100,4,3,2543,54,4,2->5,2->5->8,1,1,2
9,2,6,87,97,97,20,2,5,100,4,1,931,108,8,"1->3, 2->1",2->1->3->4->6,2,2,4
10,8,6,175,195,195,20,1,0,100,4,1,2941,4,4,None,8->9->6,0,2,2
11,0,1,95,95,95,20,1,0,100,4,1,0,2,2,None,0->1,0,1,1
12,0,4,95,95,95,20,1,0,100,4,1,0,2,2,None,0->4,0,1,1
13,1,2,95,95,95,20,2,3,100,4,1,0,52,2,1->2,1->2,1,0,1
14,1,4,95,95,95,20,2,5,100,4,1,0,54,4,1->3,1->3->4,1,1,2
15,2,4,100,100,100,20,2,5,100,4,1,0,106,6,"1->3, 2->1",2->1->3->4,2,1,3
16,2,7,225,256,255,20,2,4,100,4,1,2613,104,4,"5->7, 2->5",2->5->7,2,0,2
