Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,1,0,867,45095,56368,0,0,0,1,2,2,2,2,4,0
6,8,0,1036,153544,166930,0,0,0,2,6,6,1,1,4,1
0,2,1,892,52508,58342,0,0,0,1,4,4,1,1,4,0
1,6,1,2552,132746,165932,0,0,0,2,56,12,2,2,4,1
4,8,1,2564,133914,167392,0,0,0,2,56,12,2,2,4,2
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,6
2,4,1,869,145231,156538,0,0,0,2,8,8,1,1,4,7
