Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
2,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,0
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,1
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,2
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,3
0,2,1,738,63229,79036,244,244,244,1,4,4,3,3,4,0
0,8,1,2804,140927,176158,926,926,926,2,58,16,2,2,4,1
6,10,1,2762,129563,161953,912,912,912,2,58,16,3,3,4,2
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
2,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
0,4,1,767,145386,156732,254,254,254,2,8,8,1,1,4,6
1,2,1,1179,170730,178588,390,390,390,2,4,4,1,1,4,7
2,7,1,848,172075,190093,280,280,280,2,6,6,1,1,4,8
