ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,5,131,163,151,20,2,2,100,3,2,2525,106,6,"2->5, 1->2",0->1->2->5,2,1,3
2,1,9,128,160,132,20,2,3,100,3,3,2475,58,8,1->3,1->3->4->6->9,1,3,4
3,4,5,130,163,151,20,2,4,100,3,2,2518,52,2,4->5,4->5,1,0,1
4,5,7,100,100,100,20,1,0,100,3,1,0,4,4,None,5->8->7,0,2,2
5,5,9,100,100,100,20,2,4,100,3,1,0,56,6,5->4,5->4->6->9,1,2,3
6,7,9,100,100,100,20,1,0,100,3,1,0,4,4,None,7->8->9,0,2,2
7,7,10,100,100,100,20,1,0,100,3,1,0,4,4,None,7->8->10,0,2,2
8,9,10,100,100,100,20,1,0,100,3,1,0,4,4,None,9->8->10,0,2,2
9,0,2,54,60,60,20,2,2,100,4,1,932,54,4,1->2,0->1->2,1,1,2
10,1,6,152,168,168,20,2,3,100,4,1,2592,56,6,1->3,1->3->4->6,1,2,3
11,6,8,146,162,162,20,1,0,100,4,1,2502,4,4,None,6->9->8,0,2,2
12,0,1,100,100,100,20,1,0,100,4,1,0,2,2,None,0->1,0,1,1
13,0,4,100,100,100,20,1,0,100,4,1,0,2,2,None,0->4,0,1,1
14,1,2,100,100,100,20,2,2,100,4,1,0,52,2,1->2,1->2,1,0,1
15,1,4,100,100,100,20,2,3,100,4,1,0,54,4,1->3,1->3->4,1,1,2
16,2,7,100,100,100,20,2,1,100,4,1,0,56,6,2->5,2->5->8->7,1,2,3
17,2,4,148,161,149,20,2,4,100,4,1,948,104,4,"5->4, 2->5",2->5->4,2,0,2
