ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,4,176,195,195,20,1,0,100,3,1,3014,2.0,2.0,,0->4,0,1,1
2,1,5,61,76,76,20,1,0,100,3,3,1159,4.0,4.0,,1->2->5,0,2,2
3,4,7,131,163,163,20,1,0,100,3,3,2587,4.0,4.0,,4->5->7,0,2,2
4,5,9,167,185,185,20,1,0,100,3,1,2613,6.0,6.0,,5->4->6->9,0,3,3
5,10,9,129,161,161,20,2,1,100,3,2,2521,66.0,16.0,10->8,10->8->5->2->1->0->4->6->9,1,7,8
6,5,7,100,100,100,20,1,0,100,3,1,0,2.0,2.0,,5->7,0,1,1
7,7,10,100,100,100,20,2,2,100,3,1,0,52.0,2.0,7->10,7->10,1,0,1
8,1,4,100,100,100,20,2,3,100,4,1,0,54.0,4.0,3->4,1->3->4,1,1,2
9,2,1,51,64,64,20,1,0,100,4,2,1527,2.0,2.0,,2->1,0,1,1
10,1,0,77,86,86,20,1,0,100,4,1,1180,2.0,2.0,,1->0,0,1,1
11,2,6,58,73,0,20,0,0,0,4,2,813,0,0,,,0,0,0
12,6,8,62,69,0,20,0,0,0,4,1,1503,0,0,,,0,0,0
13,7,6,146,183,0,20,0,0,0,4,3,2316,0,0,,,0,0,0
14,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->1,0,1,1
15,0,4,100,100,0,20,0,0,0,4,1,0,0,0,,,0,0,0
16,1,2,100,100,0,20,0,0,0,4,1,0,0,0,,,0,0,0
17,2,4,100,100,0,20,0,0,0,4,1,0,0,0,,,0,0,0
18,2,7,100,100,100,20,1,0,100,4,1,0,4.0,4.0,,2->5->7,0,2,2
