ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,5,128,160,136,20,1,0,100,3,3,2476,6,6,None,0->1->2->5,0,3,3
2,4,5,143,159,159,20,1,0,100,3,1,2466,2,2,None,4->5,0,1,1
3,4,9,132,165,165,20,1,0,100,3,3,2550,4,4,None,4->6->9,0,2,2
4,9,10,130,162,162,20,2,2,100,3,3,2515,108,8,"9->8, 7->10",9->8->5->7->10,2,2,4
5,5,7,100,100,100,20,1,0,100,3,1,0,2,2,None,5->7,0,1,1
6,7,10,100,100,100,20,2,2,100,3,1,0,52,2,7->10,7->10,1,0,1
7,0,2,50,63,63,20,1,0,100,4,2,976,4,4,None,0->1->2,0,2,2
8,1,6,147,164,164,20,2,3,100,4,1,2527,56,6,3->4,1->3->4->6,1,2,3
9,4,8,48,60,60,20,2,1,100,4,2,929,56,6,9->8,4->6->9->8,1,2,3
10,6,8,130,163,163,20,2,1,100,4,2,2508,54,4,9->8,6->9->8,1,1,2
11,0,1,100,100,100,20,1,0,100,4,1,0,2,2,None,0->1,0,1,1
12,0,4,100,100,100,20,2,3,100,4,1,0,56,6,3->4,0->1->3->4,1,2,3
13,1,2,100,100,100,20,1,0,100,4,1,0,2,2,None,1->2,0,1,1
14,1,4,100,100,100,20,2,3,100,4,1,0,54,4,3->4,1->3->4,1,1,2
15,2,7,100,100,100,20,1,0,100,4,1,0,4,4,None,2->5->7,0,2,2
16,2,4,157,164,164,20,1,0,100,4,1,982,4,4,None,2->5->4,0,2,2
