Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,0
0,1,1,909,53123,59025,0,0,0,1,2,2,1,1,3,0
0,4,1,2489,129288,161610,0,0,0,2,2,4,2,2,3,1
0,5,1,2582,133790,167237,0,0,0,2,54,8,2,2,3,2
4,9,1,2491,145936,162151,0,0,0,2,4,8,1,1,3,3
4,10,1,2554,149942,166602,0,0,0,2,8,16,1,1,3,4
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
5,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,6
7,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,7
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,8
9,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,9
