Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,5,0,1023,53168,66460,0,0,0,1,4,4,2,2,3,0
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,1
0,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,2
1,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,3
1,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,4
4,5,0,952,149312,161639,0,0,0,2,4,4,1,1,3,5
0,1,1,939,48877,61096,0,0,0,1,2,2,3,3,3,0
0,4,1,982,50937,63671,0,0,0,1,2,2,3,3,3,1
4,9,1,2467,127861,159826,0,0,0,2,54,8,2,2,3,2
9,10,1,2541,131727,164658,0,0,0,2,56,12,2,2,3,3
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,4
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
