Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,2,0,981,50716,63394,0,0,0,1,4,4,2,2,4,0
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,1
1,6,1,2449,143940,159933,0,0,0,2,56,12,1,1,4,0
4,8,1,2524,147177,163529,0,0,0,2,54,8,1,1,4,1
6,8,1,2497,129988,162485,0,0,0,2,4,8,3,3,4,2
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
0,1,1,1026,153505,166881,0,0,0,2,4,4,1,1,4,6
2,4,1,980,157400,163777,0,0,0,2,8,8,1,1,4,7
