Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,1,0,0,100000,100000,0,0,0,1,2,2,1,1,3,0
1,0,1,952,73064,91329,315,315,315,1,2,2,2,2,3,0
0,5,1,2373,162932,203665,784,784,784,3,6,18,3,3,3,1
0,4,1,2550,132596,165744,842,842,842,2,52,4,3,3,3,2
5,10,1,3027,176890,196544,999,999,999,2,4,8,1,1,3,3
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,4
7,9,1,0,100000,100000,0,0,0,1,2,2,1,1,3,5
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,6
9,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,7
5,9,1,2862,240519,275648,945,945,945,3,8,14,1,1,3,8
