ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,4,86,95,95,20,1,0,100,3,1,1479,2.0,2.0,,0->4,0,1,1
2,4,5,77,97,97,20,1,0,100,3,3,1490,8.0,8.0,,4->6->9->8->5,0,4,4
3,0,5,165,183,183,20,1,0,100,3,1,2821,10.0,10.0,,0->4->6->9->8->5,0,5,5
4,4,9,79,98,98,20,1,0,100,3,2,1518,4.0,4.0,,4->6->9,0,2,2
5,5,7,100,100,100,20,1,0,100,3,1,0,4.0,4.0,,5->8->7,0,2,2
6,5,9,100,100,100,20,2,1,100,3,1,0,56.0,6.0,5->7,5->7->8->9,1,2,3
7,7,9,100,100,0,20,0,0,0,3,1,0,0,0,,,0,0,0
8,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,,7->10,0,1,1
9,9,10,127,134,0,20,0,0,0,3,1,530,0,0,,,0,0,0
10,0,2,148,164,164,20,2,2,100,4,1,2529,54.0,4.0,1->2,0->1->2,1,1,2
11,1,6,49,62,0,20,0,0,0,4,2,955,0,0,,,0,0,0
12,2,4,149,166,166,20,2,4,100,4,1,2546,104.0,4.0,"2->5, 5->4",2->5->4,2,0,2
13,4,8,127,159,159,20,2,4,100,4,3,2456,106.0,6.0,"4->5, 5->7",4->5->7->8,2,1,3
14,6,8,128,160,0,20,0,0,0,4,2,2470,0,0,,,0,0,0
15,0,4,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->4,0,1,1
16,1,4,100,100,100,20,2,5,100,4,1,0,54.0,4.0,1->3,1->3->4,1,1,2
17,0,1,148,161,161,20,1,0,100,4,1,951,2.0,2.0,,0->1,0,1,1
