ID,contents,Required_BW,Source,Destinations
0,12,79,9999,9999
1,14,69,9999,9999
2,1,57,9999,9999
3,3,61,9999,9999
4,3,71,9999,9999
5,3,74,9999,9999
6,14,69,9999,9999
7,9,80,9999,9999
8,14,66,9999,9999
9,1,57,9999,9999
10,1,74,9999,9999
11,3,75,9999,9999
12,6,50,9999,9999
13,6,57,9999,9999
14,6,66,9999,9999
15,6,65,9999,9999
16,1,70,9999,9999
17,9,59,9999,9999
18,6,63,9999,9999
19,6,53,9999,9999
20,14,78,9999,9999
21,12,70,9999,9999
22,3,65,9999,9999
23,6,57,9999,9999
24,9,77,9999,9999
25,1,60,9999,9999
26,3,58,9999,9999
27,3,58,9999,9999
28,12,65,9999,9999
29,12,65,9999,9999
30,3,66,9999,9999
31,1,52,9999,9999
32,14,54,9999,9999
33,14,63,9999,9999
34,9,62,9999,9999
35,9,75,9999,9999
36,14,57,9999,9999
37,3,51,9999,9999
38,14,62,9999,9999
39,12,66,9999,9999
40,1,52,9999,9999
41,9,79,9999,9999
42,1,78,9999,9999
43,3,80,9999,9999
44,6,53,9999,9999
45,14,71,9999,9999
46,1,69,9999,9999
47,14,59,9999,9999
48,12,55,9999,9999
49,12,76,9999,9999
50,3,59,9999,9999
51,6,69,9999,9999
52,3,67,9999,9999
53,6,78,9999,9999
54,1,69,9999,9999
55,6,51,9999,9999
56,3,66,9999,9999
57,3,55,9999,9999
58,9,50,9999,9999
59,3,74,9999,9999
60,12,68,9999,9999
61,12,66,9999,9999
62,12,65,9999,9999
63,3,68,9999,9999
64,3,71,9999,9999
65,14,57,9999,9999
66,3,50,9999,9999
67,9,75,9999,9999
68,6,68,9999,9999
69,3,72,9999,9999
70,6,69,9999,9999
71,1,65,9999,9999
72,6,61,9999,9999
73,12,68,9999,9999
74,3,75,9999,9999
75,9,65,9999,9999
76,12,68,9999,9999
77,6,58,9999,9999
78,12,63,9999,9999
79,6,76,9999,9999
80,6,55,9999,9999
81,1,78,9999,9999
82,14,77,9999,9999
83,1,63,9999,9999
84,1,65,9999,9999
85,14,68,9999,9999
86,1,79,9999,9999
87,1,62,9999,9999
88,12,55,9999,9999
89,14,50,9999,9999
90,9,73,9999,9999
91,3,57,9999,9999
92,1,62,9999,9999
93,1,70,9999,9999
94,9,59,9999,9999
95,1,67,9999,9999
96,1,65,9999,9999
97,6,52,9999,9999
98,14,62,9999,9999
99,14,52,9999,9999
100,1,63,9999,9999
101,14,65,9999,9999
102,3,71,9999,9999
103,14,59,9999,9999
104,6,77,9999,9999
105,14,56,9999,9999
106,6,77,9999,9999
107,12,65,9999,9999
108,9,53,9999,9999
109,9,67,9999,9999
110,9,55,9999,9999
111,1,68,9999,9999
112,14,65,9999,9999
113,6,67,9999,9999
114,3,74,9999,9999
115,14,64,9999,9999
116,3,61,9999,9999
117,6,75,9999,9999
118,3,62,9999,9999
119,12,61,9999,9999
120,12,53,9999,9999
121,3,70,9999,9999
122,12,76,9999,9999
123,6,54,9999,9999
124,6,70,9999,9999
125,14,74,9999,9999
126,9,63,9999,9999
127,3,73,9999,9999
128,12,72,9999,9999
129,1,61,9999,9999
130,1,54,9999,9999
131,12,76,9999,9999
132,12,53,9999,9999
133,1,70,9999,9999
134,14,60,9999,9999
135,14,52,9999,9999
136,12,71,9999,9999
137,14,54,9999,9999
138,12,54,9999,9999
139,6,62,9999,9999
140,9,50,9999,9999
141,3,52,9999,9999
142,12,60,9999,9999
143,3,78,9999,9999
144,14,60,9999,9999
145,3,63,9999,9999
146,1,67,9999,9999
147,9,71,9999,9999
148,3,66,9999,9999
149,14,70,9999,9999
150,1,72,9999,9999
151,14,52,9999,9999
152,6,80,9999,9999
153,3,74,9999,9999
154,6,58,9999,9999
155,14,54,9999,9999
156,14,71,9999,9999
157,9,75,9999,9999
158,12,53,9999,9999
159,6,78,9999,9999
160,6,54,9999,9999
161,14,65,9999,9999
162,3,54,9999,9999
163,14,73,9999,9999
164,14,69,9999,9999
165,9,67,9999,9999
166,9,59,9999,9999
167,3,55,9999,9999
168,1,77,9999,9999
169,14,62,9999,9999
170,1,52,9999,9999
171,12,72,9999,9999
172,6,68,9999,9999
173,3,58,9999,9999
174,1,70,9999,9999
175,6,74,9999,9999
176,3,59,9999,9999
177,12,51,9999,9999
178,14,72,9999,9999
179,1,74,9999,9999
180,1,72,9999,9999
181,14,67,9999,9999
182,14,54,9999,9999
183,14,73,9999,9999
184,1,53,9999,9999
185,9,62,9999,9999
186,12,52,9999,9999
187,12,64,9999,9999
188,14,69,9999,9999
189,14,62,9999,9999
190,6,64,9999,9999
191,12,67,9999,9999
192,14,74,9999,9999
193,6,80,9999,9999
194,9,55,9999,9999
195,9,70,9999,9999
196,6,70,9999,9999
197,1,72,9999,9999
198,12,73,9999,9999
199,14,70,9999,9999
200,3,78,9999,9999
201,12,74,9999,9999
202,12,72,9999,9999
203,6,64,9999,9999
204,14,73,9999,9999
205,3,53,9999,9999
206,9,62,9999,9999
207,6,70,9999,9999
208,9,74,9999,9999
209,9,68,9999,9999
210,14,72,9999,9999
211,3,56,9999,9999
212,3,67,9999,9999
213,3,72,9999,9999
214,12,55,9999,9999
215,6,62,9999,9999
216,9,50,9999,9999
217,1,73,9999,9999
218,6,51,9999,9999
219,3,74,9999,9999
220,9,77,9999,9999
221,1,58,9999,9999
222,12,76,9999,9999
223,3,65,9999,9999
224,14,68,9999,9999
225,12,68,9999,9999
226,9,61,9999,9999
227,14,69,9999,9999
228,1,52,9999,9999
229,3,79,9999,9999
230,1,73,9999,9999
231,3,79,9999,9999
232,6,64,9999,9999
233,6,66,9999,9999
234,1,68,9999,9999
235,9,55,9999,9999
236,14,67,9999,9999
237,3,59,9999,9999
238,6,64,9999,9999
239,12,57,9999,9999
240,6,64,9999,9999
241,3,64,9999,9999
242,3,74,9999,9999
243,9,74,9999,9999
244,3,79,9999,9999
245,12,56,9999,9999
246,9,76,9999,9999
247,9,71,9999,9999
248,12,64,9999,9999
249,14,80,9999,9999
250,12,58,9999,9999
251,1,65,9999,9999
252,6,68,9999,9999
253,6,51,9999,9999
254,6,63,9999,9999
255,9,62,9999,9999
256,9,69,9999,9999
257,14,61,9999,9999
258,3,78,9999,9999
259,12,68,9999,9999
260,14,60,9999,9999
261,12,58,9999,9999
262,14,67,9999,9999
263,1,72,9999,9999
264,12,51,9999,9999
265,1,59,9999,9999
266,14,56,9999,9999
267,12,59,9999,9999
268,12,53,9999,9999
269,14,74,9999,9999
270,3,72,9999,9999
271,6,65,9999,9999
272,3,66,9999,9999
273,14,70,9999,9999
274,3,75,9999,9999
275,14,65,9999,9999
276,1,68,9999,9999
277,6,71,9999,9999
278,1,55,9999,9999
279,14,55,9999,9999
280,1,66,9999,9999
281,3,60,9999,9999
282,1,52,9999,9999
283,1,54,9999,9999
284,12,59,9999,9999
285,6,80,9999,9999
286,1,77,9999,9999
287,9,64,9999,9999
288,3,59,9999,9999
289,1,64,9999,9999
290,6,65,9999,9999
291,3,59,9999,9999
292,14,56,9999,9999
293,1,62,9999,9999
294,3,65,9999,9999
295,12,54,9999,9999
296,14,52,9999,9999
297,14,65,9999,9999
298,12,67,9999,9999
299,6,71,9999,9999
300,1,73,9999,9999
301,9,76,9999,9999
302,1,80,9999,9999
303,9,51,9999,9999
304,12,74,9999,9999
305,14,50,9999,9999
306,1,74,9999,9999
307,3,61,9999,9999
308,3,63,9999,9999
309,9,56,9999,9999
310,14,75,9999,9999
311,6,63,9999,9999
312,1,68,9999,9999
313,1,76,9999,9999
314,3,67,9999,9999
315,1,75,9999,9999
316,14,58,9999,9999
317,1,58,9999,9999
318,6,64,9999,9999
319,14,63,9999,9999
320,9,59,9999,9999
321,3,50,9999,9999
322,12,66,9999,9999
323,6,56,9999,9999
324,9,80,9999,9999
325,1,63,9999,9999
