ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,1,7,134,168,168,20,2,1,100,3,3,2763,56.0,6.0,1->2,1->2->5->7,1,2,3,0
2,0,2,128,160,160,20,2,1,100,4,3,2454,54.0,4.0,1->2,0->1->2,1,1,2,0
3,2,4,149,166,166,20,2,2,100,4,1,2561,54.0,4.0,5->4,2->5->4,1,1,2,0
4,2,8,100,100,0,20,0,0,0,4,1,0,0.0,0.0,0->0,,0,0,0,0
5,7,8,100,100,100,20,1,0,100,4,1,0,4.0,4.0,0->0,7->5->8,0,2,2,0
1,0,1,53,67,67,20,1,0,100,3,3,1134,2.0,2.0,0->0,0->1,0,1,1,1
2,1,4,166,184,184,20,1,0,100,3,1,2960,4.0,4.0,0->0,1->0->4,0,2,2,1
3,4,9,164,205,205,20,1,0,100,3,2,2612,4.0,4.0,0->0,4->6->9,0,2,2,1
4,5,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,5->8->9,0,2,2,1
5,7,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,7->8->9,0,2,2,1
6,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,0->0,7->10,0,1,1,1
7,9,10,100,100,100,20,1,0,100,3,1,0,4.0,4.0,0->0,9->8->10,0,2,2,1
8,5,7,262,279,279,20,1,0,100,3,1,2546,4.0,4.0,0->0,5->8->7,0,2,2,1
9,1,6,148,165,165,20,2,1,100,4,1,2539,56.0,6.0,1->3,1->3->4->6,1,2,3,1
10,4,8,142,158,0,20,0,0,0,4,1,2443,0.0,0.0,0->0,,0,0,0,1
11,6,8,125,156,0,20,0,0,0,4,3,2418,0.0,0.0,0->0,,0,0,0,1
12,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,0->1,0,1,1,1
13,0,4,100,100,100,20,1,0,100,4,1,0,2.0,2.0,0->0,0->4,0,1,1,1
14,1,4,100,100,100,20,2,1,100,4,1,0,54.0,4.0,1->3,1->3->4,1,1,2,1
15,2,7,100,100,0,20,0,0,0,4,1,0,0.0,0.0,0->0,,0,0,0,1
