ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,1,100,100,100,20,1,0,100,3,1,0,2,2,0->0,0->1,0,1,1,0
2,0,2,152,190,190,20,2,1,100,4,3,2301,54,4,1->2,0->1->2,1,1,2,0
3,7,8,95,95,95,20,1,0,100,4,1,0,4,4,0->0,7->5->8,0,2,2,0
4,2,8,238,274,274,20,1,0,100,4,1,3009,4,4,0->0,2->5->8,0,2,2,0
1,0,1,53,59,59,20,1,0,100,3,1,909,2,2,0->0,0->1,0,1,1,1
2,0,4,129,161,161,20,1,0,100,3,2,2489,2,2,0->0,0->4,0,1,1,1
3,0,5,133,167,167,20,2,2,100,3,2,2582,106,6,"2->5, 1->2",0->1->2->5,2,1,3,1
4,4,9,145,162,146,20,1,0,100,3,1,2491,4,4,0->0,4->6->9,0,2,2,1
5,4,10,149,166,150,20,2,3,100,3,1,2554,56,6,4->5,4->5->8->10,1,2,3,1
6,5,7,100,100,100,20,2,4,100,3,1,0,52,2,5->7,5->7,1,0,1,1
7,5,9,100,100,100,20,1,0,100,3,1,0,4,4,0->0,5->8->9,0,2,2,1
8,7,9,100,100,100,20,1,0,100,3,1,0,4,4,0->0,7->8->9,0,2,2,1
9,7,10,100,100,100,20,1,0,100,3,1,0,4,4,0->0,7->8->10,0,2,2,1
10,9,10,100,100,100,20,2,3,100,3,1,0,60,10,4->5,9->6->4->5->8->10,1,4,5,1
11,6,10,142,177,150,20,2,4,100,4,2,2957,108,8,"5->7, 4->5",6->4->5->7->10,2,2,4,1
12,7,6,129,161,154,20,1,0,100,4,2,2276,6,6,0->0,7->8->9->6,0,3,3,1
13,0,1,95,95,95,20,1,0,100,4,1,0,2,2,0->0,0->1,0,1,1,1
14,0,4,95,95,95,20,1,0,100,4,1,0,2,2,0->0,0->4,0,1,1,1
15,2,7,95,95,95,20,2,4,100,4,1,0,104,4,"5->7, 2->5",2->5->7,2,0,2,1
16,1,4,262,302,302,20,2,5,100,4,1,2879,54,4,1->3,1->3->4,1,1,2,1
