Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,2,0,988,51447,64308,0,0,0,1,54,4,2,2,4,0
1,6,0,2437,126521,158151,0,0,0,2,106,12,3,3,4,1
2,4,0,2571,133848,167310,0,0,0,2,54,8,3,3,4,2
6,8,0,2473,128847,161058,0,0,0,2,104,8,2,2,4,3
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,4
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,5
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,6
4,8,1,2480,128812,161014,0,0,0,2,104,8,2,2,4,0
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,1
0,1,1,949,149280,161600,0,0,0,2,54,4,1,1,4,2
