ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,4,51,64,64,20,1,0,100,3,3,998,2.0,2.0,,0->4,0,1,1
2,4,5,55,61,61,20,1,0,100,3,1,942,8.0,8.0,,4->6->9->8->5,0,4,4
3,4,9,51,64,64,20,1,0,100,3,2,991,4.0,4.0,,4->6->9,0,2,2
4,5,7,100,100,100,20,1,0,100,3,1,0,4.0,4.0,,5->8->7,0,2,2
5,5,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,,5->8->9,0,2,2
6,7,9,100,100,100,20,1,0,100,3,1,0,4.0,4.0,,7->8->9,0,2,2
7,7,10,100,100,100,20,1,0,100,3,1,0,2.0,2.0,,7->10,0,1,1
8,9,10,149,162,0,20,0,0,0,3,1,950,0,0,,,0,0,0
9,4,6,157,175,175,20,1,0,100,4,1,2526,2.0,2.0,,4->6,0,1,1
10,2,1,87,96,96,20,2,1,100,4,1,1192,52.0,2.0,2->1,2->1,1,0,1
11,1,0,78,98,98,20,1,0,100,4,3,770,2.0,2.0,,1->0,0,1,1
12,1,8,64,80,80,20,1,0,100,4,3,1352,10.0,10.0,,1->0->4->6->9->8,0,5,5
13,8,6,132,165,0,20,0,0,0,4,3,2398,0,0,,,0,0,0
14,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->1,0,1,1
15,0,4,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->4,0,1,1
16,1,2,100,100,100,20,2,1,100,4,1,0,52.0,2.0,1->2,1->2,1,0,1
17,1,4,100,100,100,20,1,0,100,4,1,0,4.0,4.0,,1->0->4,0,2,2
18,2,7,100,100,100,20,2,2,100,4,1,0,56.0,6.0,2->5,2->5->8->7,1,2,3
19,2,4,177,196,196,20,2,3,100,4,1,1435,104.0,4.0,"2->5, 5->4",2->5->4,2,0,2
