ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,7,145,161,158,20,2,2,100,3,1,2542,106,6,"5->7, 4->5",0->4->5->7,2,1,3
2,0,4,66,74,74,20,1,0,100,3,1,1206,2,2,None,0->4,0,1,1
3,4,7,46,58,47,20,2,2,100,3,2,929,104,4,"5->7, 4->5",4->5->7,2,0,2
4,5,7,95,95,95,20,2,1,100,3,1,0,52,2,5->7,5->7,1,0,1
5,5,9,95,95,95,20,2,5,100,3,1,0,162,12,"1->3, 2->1, 5->2",5->2->1->3->4->6->9,3,3,6
6,7,9,95,95,95,20,1,0,100,3,1,0,4,4,None,7->8->9,0,2,2
7,7,10,95,95,95,20,1,0,100,3,1,0,4,4,None,7->8->10,0,2,2
8,9,10,148,155,155,20,1,0,100,3,1,783,4,4,None,9->8->10,0,2,2
9,0,2,48,60,56,20,2,4,100,4,3,940,54,4,1->2,0->1->2,1,1,2
10,1,6,53,67,56,20,2,3,100,4,3,1041,56,6,1->3,1->3->4->6,1,2,3
11,4,8,128,161,161,20,2,2,100,4,2,2486,54,4,4->5,4->5->8,1,1,2
12,6,8,146,162,150,20,1,0,100,4,1,2505,4,4,None,6->9->8,0,2,2
13,0,4,100,100,100,20,1,0,100,4,1,0,2,2,None,0->4,0,1,1
14,1,2,100,100,100,20,2,4,100,4,1,0,52,2,1->2,1->2,1,0,1
15,1,4,100,100,100,20,2,3,100,4,1,0,54,4,1->3,1->3->4,1,1,2
16,2,7,100,100,100,20,2,5,100,4,1,0,104,4,"5->7, 2->5",2->5->7,2,0,2
17,0,1,152,165,165,20,1,0,100,4,1,1001,2,2,None,0->1,0,1,1
18,2,4,148,161,149,20,2,4,100,4,1,942,106,6,"1->3, 2->1",2->1->3->4,2,1,3
