Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
4,6,0,0,100000,100000,0,0,0,1,2,2,1,1,4,0
2,1,1,1542,78052,97565,509,509,509,1,2,2,3,3,4,0
2,0,1,1237,54755,60838,409,409,409,1,4,4,1,1,4,1
4,2,1,929,79692,88546,307,307,307,1,6,6,1,1,4,2
6,7,1,2767,156632,195789,914,914,914,2,6,12,2,2,4,3
4,6,1,2919,156102,173446,964,964,964,2,2,4,1,1,4,4
0,1,1,0,100000,10000,0,0,0,1,2,2,1,1,4,5
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,6
1,2,1,0,100000,10000,0,0,0,1,2,2,1,1,4,7
2,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,8
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,9
1,4,1,1052,172507,180563,348,348,348,2,6,6,1,1,4,10
