Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,1,0,952,55742,61935,0,0,0,1,2,2,1,1,4,0
0,2,0,997,51897,64871,0,0,0,1,4,4,2,2,4,1
4,6,0,0,100000,100000,0,0,0,1,2,2,1,1,4,2
1,6,1,976,57435,63816,0,0,0,1,6,6,1,1,4,0
4,8,1,2462,143919,159909,0,0,0,2,4,8,1,1,4,1
6,8,1,2553,132453,165566,0,0,0,2,6,12,2,2,4,2
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,6
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,7
2,4,1,912,147052,158815,0,0,0,2,8,8,1,1,4,8
