ID,contents,Required_BW,Source,Destinations
0,12,67,9999,9999
1,12,50,9999,9999
2,1,62,9999,9999
3,1,57,9999,9999
4,3,54,9999,9999
5,1,52,9999,9999
6,6,72,9999,9999
7,14,75,9999,9999
8,9,60,9999,9999
9,9,64,9999,9999
10,1,79,9999,9999
11,14,76,9999,9999
12,12,58,9999,9999
13,6,77,9999,9999
14,1,54,9999,9999
15,9,53,9999,9999
16,6,75,9999,9999
17,9,67,9999,9999
18,9,72,9999,9999
19,3,80,9999,9999
20,12,63,9999,9999
21,14,53,9999,9999
22,9,58,9999,9999
23,12,55,9999,9999
24,6,79,9999,9999
25,3,75,9999,9999
26,6,63,9999,9999
27,12,69,9999,9999
28,3,63,9999,9999
29,1,69,9999,9999
30,14,59,9999,9999
31,12,71,9999,9999
32,1,77,9999,9999
33,1,67,9999,9999
34,14,68,9999,9999
35,3,56,9999,9999
36,3,63,9999,9999
37,14,72,9999,9999
38,6,79,9999,9999
39,6,69,9999,9999
40,3,74,9999,9999
41,14,61,9999,9999
42,3,76,9999,9999
43,12,69,9999,9999
44,6,72,9999,9999
45,14,77,9999,9999
46,14,65,9999,9999
47,14,79,9999,9999
48,1,58,9999,9999
49,6,58,9999,9999
50,9,74,9999,9999
51,6,79,9999,9999
52,12,78,9999,9999
53,12,71,9999,9999
54,9,53,9999,9999
55,14,53,9999,9999
56,12,78,9999,9999
57,9,74,9999,9999
58,14,54,9999,9999
59,12,68,9999,9999
60,14,74,9999,9999
61,1,59,9999,9999
62,1,78,9999,9999
63,14,54,9999,9999
64,6,80,9999,9999
65,14,75,9999,9999
66,14,52,9999,9999
67,6,54,9999,9999
68,14,62,9999,9999
69,12,76,9999,9999
70,14,71,9999,9999
71,14,52,9999,9999
72,9,67,9999,9999
73,3,59,9999,9999
74,12,58,9999,9999
75,14,56,9999,9999
76,14,62,9999,9999
77,1,61,9999,9999
78,14,60,9999,9999
79,9,63,9999,9999
80,9,77,9999,9999
81,3,71,9999,9999
82,3,51,9999,9999
83,3,73,9999,9999
