Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
0,5,0,960,56335,62594,0,0,0,1,4,4,1,1,3,0
0,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,1
1,4,0,0,100000,100000,0,0,0,1,2,2,1,1,3,2
1,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,3
4,5,0,0,100000,100000,0,0,0,1,2,2,1,1,3,4
0,1,0,950,149584,161980,0,0,0,2,4,4,1,1,3,5
4,5,1,976,50796,63494,0,0,0,1,2,2,3,3,3,0
4,9,1,2572,133348,166684,0,0,0,2,54,8,2,2,3,1
9,10,1,2515,130485,163106,0,0,0,2,54,8,2,2,3,2
5,7,1,0,100000,100000,0,0,0,1,2,2,1,1,3,3
7,10,1,0,100000,100000,0,0,0,1,2,2,1,1,3,4
