ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops,Carrier_ID
1,0,4,100,100,100,20,1,0,100,3,1,0,2,2,0->0,0->4,0,1,1,0
2,1,4,100,100,100,20,1,0,100,3,1,0,4,4,0->0,1->0->4,0,2,2,0
3,1,5,100,100,100,20,1,0,100,3,1,0,6,6,0->0,1->0->4->5,0,3,3,0
4,4,5,100,100,100,20,1,0,100,3,1,0,2,2,0->0,4->5,0,1,1,0
5,0,1,153,160,160,20,1,0,100,3,1,929,2,2,0->0,0->1,0,1,1,0
6,4,6,160,176,176,20,1,0,100,4,1,994,2,2,0->0,4->6,0,1,1,0
1,0,4,49,62,62,20,1,0,100,3,2,954,2,2,0->0,0->4,0,1,1,1
2,0,5,48,60,60,20,2,2,100,3,2,938,106,6,"2->5, 1->2",0->1->2->5,2,1,3,1
3,4,5,46,58,58,20,2,2,100,3,2,894,108,8,"2->5, 1->2",4->0->1->2->5,2,2,4,1
4,4,9,129,161,161,20,1,0,100,3,3,2502,4,4,0->0,4->6->9,0,2,2,1
5,9,10,147,164,164,20,1,0,100,3,1,2522,4,4,0->0,9->8->10,0,2,2,1
6,5,7,100,100,100,20,1,0,100,3,1,0,4,4,0->0,5->8->7,0,2,2,1
7,7,10,100,100,100,20,1,0,100,3,1,0,2,2,0->0,7->10,0,1,1,1
8,2,6,65,81,81,20,2,3,100,4,2,1425,106,6,"5->4, 2->5",2->5->4->6,2,1,3,1
9,1,0,45,51,51,20,1,0,100,4,1,1285,2,2,0->0,1->0,0,1,1,1
10,6,10,181,201,201,20,1,0,100,4,1,3016,6,6,0->0,6->9->8->10,0,3,3,1
11,7,10,130,163,163,20,1,0,100,4,2,2626,2,2,0->0,7->10,0,1,1,1
12,0,1,100,100,100,20,1,0,100,4,1,0,2,2,0->0,0->1,0,1,1,1
13,0,4,95,95,95,20,1,0,100,4,1,0,2,2,0->0,0->4,0,1,1,1
14,1,4,95,95,95,20,1,0,100,4,1,0,4,4,0->0,1->0->4,0,2,2,1
15,2,4,100,100,100,20,2,3,100,4,1,0,104,4,"5->4, 2->5",2->5->4,2,0,2,1
16,2,7,95,95,95,20,2,1,100,4,1,0,56,6,2->5,2->5->8->7,1,2,3,1
17,1,2,178,187,187,20,2,2,100,4,1,1173,52,2,1->2,1->2,1,0,1,1
