ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,1,5,73,92,91,20,2,2,100,3,3,1404,106,6,"1->3, 4->5",1->3->4->5,2,1,3
2,0,4,117,130,130,20,1,0,100,3,1,2069,2,2,None,0->4,0,1,1
3,1,10,75,94,94,20,2,4,100,3,2,1077,108,8,"2->5, 1->2",1->2->5->8->10,2,2,4
4,4,10,67,84,78,20,1,0,100,3,2,1542,8,8,None,4->6->9->8->10,0,4,4
5,5,7,95,95,95,20,1,0,100,3,1,0,4,4,None,5->8->7,0,2,2
6,5,9,95,95,95,20,2,2,100,3,1,0,56,6,5->4,5->4->6->9,1,2,3
7,7,9,95,95,95,20,1,0,100,3,1,0,4,4,None,7->8->9,0,2,2
8,7,10,95,95,95,20,1,0,100,3,1,0,4,4,None,7->8->10,0,2,2
9,9,10,95,95,95,20,1,0,100,3,1,0,4,4,None,9->8->10,0,2,2
10,0,2,52,65,65,20,2,4,100,4,3,1010,54,4,1->2,0->1->2,1,1,2
11,1,6,146,163,163,20,2,1,100,4,1,2510,56,6,1->3,1->3->4->6,1,2,3
12,4,8,57,64,58,20,2,2,100,4,1,982,54,4,4->5,4->5->8,1,1,2
13,6,8,131,164,132,20,1,0,100,4,3,2531,4,4,None,6->9->8,0,2,2
14,0,4,100,100,100,20,1,0,100,4,1,0,2,2,None,0->4,0,1,1
15,1,2,100,100,100,20,2,4,100,4,1,0,52,2,1->2,1->2,1,0,1
16,1,4,100,100,100,20,2,1,100,4,1,0,54,4,1->3,1->3->4,1,1,2
17,2,7,100,100,100,20,2,3,100,4,1,0,56,6,2->5,2->5->8->7,1,2,3
18,0,1,148,161,161,20,1,0,100,4,1,934,2,2,None,0->1,0,1,1
19,2,4,155,161,156,20,2,3,100,4,1,951,104,4,"5->4, 2->5",2->5->4,2,0,2
