Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
8,7,0,3144,176791,196434,1038,1038,1038,2,2,4,1,1,4,0
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,1
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,2
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,3
2,0,1,1088,60407,75508,360,360,360,1,6,6,2,2,4,0
2,1,1,1443,68450,85562,477,477,477,1,8,8,2,2,4,1
2,6,1,920,73213,91516,304,304,304,1,56,6,3,3,4,2
4,10,1,1212,70904,88630,400,400,400,1,6,6,3,3,4,3
0,1,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,6
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,7
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,8
2,4,1,3041,237819,272273,1004,1004,1004,3,6,10,1,1,4,9
