ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,1,52,57,57,20,1,0,100,3,1,885,2,2,None,0->1,0,1,1
2,0,4,129,162,162,20,1,0,100,3,2,2496,2,2,None,0->4,0,1,1
3,0,5,128,160,131,20,1,0,100,3,2,2462,6,6,None,0->1->2->5,0,3,3
4,4,9,59,66,60,20,1,0,100,3,1,1020,4,4,None,4->6->9,0,2,2
5,5,7,100,100,100,20,1,0,100,3,1,0,2,2,None,5->7,0,1,1
6,5,9,100,100,100,20,1,0,100,3,1,0,6,6,None,5->4->6->9,0,3,3
7,7,9,100,100,100,20,1,0,100,3,1,0,8,8,None,7->5->4->6->9,0,4,4
8,7,10,100,100,100,20,2,1,100,3,1,0,56,6,8->10,7->5->8->10,1,2,3
9,9,10,152,165,165,20,2,2,100,3,1,1010,104,4,"9->8, 8->10",9->8->10,2,0,2
10,0,2,52,65,53,20,1,0,100,4,3,1004,4,4,None,0->1->2,0,2,2
11,1,6,126,158,140,20,2,3,100,4,2,2433,56,6,3->4,1->3->4->6,1,2,3
12,4,8,62,69,69,20,1,0,100,4,1,1072,4,4,None,4->5->8,0,2,2
13,6,8,129,161,140,20,2,2,100,4,2,2496,54,4,9->8,6->9->8,1,1,2
14,0,4,100,100,100,20,1,0,100,4,1,0,2,2,None,0->4,0,1,1
15,1,2,100,100,100,20,1,0,100,4,1,0,2,2,None,1->2,0,1,1
16,1,4,100,100,100,20,2,3,100,4,1,0,54,4,3->4,1->3->4,1,1,2
17,2,4,100,100,100,20,1,0,100,4,1,0,4,4,None,2->5->4,0,2,2
18,2,7,100,100,100,20,1,0,100,4,1,0,4,4,None,2->5->7,0,2,2
19,0,1,158,165,159,20,1,0,100,4,1,1011,2,2,None,0->1,0,1,1
