ID,Src_node,Dst_node,Min_Req_BW,Max_Req_BW,Satisfied_Bandwidth,Latency,Result,Lead_Time,Score,Customer_ID,Priority,Users_count,Price,Normal_Price,Used_F_Links,Route,F_Links,S_Links,Hops
1,0,1,52,57,57,20,1,0,100,3,1,885,2.0,2.0,,0->1,0,1,1
2,0,4,129,162,162,20,1,0,100,3,2,2496,2.0,2.0,,0->4,0,1,1
3,0,5,128,160,160,20,1,0,100,3,2,2462,4.0,4.0,,0->4->5,0,2,2
4,4,9,59,66,66,20,1,0,100,3,1,1020,4.0,4.0,,4->6->9,0,2,2
5,5,7,100,100,100,20,1,0,100,3,1,0,2.0,2.0,,5->7,0,1,1
6,5,9,100,100,100,20,1,0,100,3,1,0,6.0,6.0,,5->4->6->9,0,3,3
7,7,9,100,100,100,20,1,0,100,3,1,0,8.0,8.0,,7->5->4->6->9,0,4,4
8,7,10,100,100,100,20,2,1,100,3,1,0,52.0,2.0,7->10,7->10,1,0,1
9,9,10,152,165,0,20,0,0,0,3,1,1010,0,0,,,0,0,0
10,2,4,100,100,0,20,0,0,0,4,1,0,0,0,,,0,0,0
11,2,6,75,83,83,20,2,2,100,4,1,1568,58.0,8.0,8->9,2->5->8->9->6,1,3,4
12,0,2,78,98,98,20,1,0,100,4,3,1341,4.0,4.0,,0->1->2,0,2,2
13,1,6,137,172,0,20,0,0,0,4,3,2424,0,0,,,0,0,0
14,4,7,68,86,0,20,0,0,0,4,3,1325,0,0,,,0,0,0
15,4,6,138,153,0,20,0,0,0,4,1,2585,0,0,,,0,0,0
16,0,1,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,0->1,0,1,1
17,0,4,100,100,100,20,2,3,100,4,1,0,56.0,6.0,3->4,0->1->3->4,1,2,3
18,1,2,100,100,100,20,1,0,100,4,1,0,2.0,2.0,,1->2,0,1,1
19,1,4,100,100,100,20,2,3,100,4,1,0,54.0,4.0,3->4,1->3->4,1,1,2
20,2,7,100,100,100,20,1,0,100,4,1,0,4.0,4.0,,2->5->7,0,2,2
