Src_node,Dst_node,Carrier_ID,Users_count,Min_Required_Lightpath_Bandwidth,Max_Required_Lightpath_Bandwidth,Priority_1,Priority_2,Priority_3,Number of lightpaths,Payment,Flat_Payment,Request_Priority,Final_Priority,From_DCP,Path_ID
2,4,0,968,50494,63117,0,0,0,1,4,4,3,3,4,0
2,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,1
4,6,0,0,100000,100000,0,0,0,1,2,2,1,1,4,2
7,8,0,0,100000,100000,0,0,0,1,2,2,1,1,4,3
7,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,4
8,10,0,0,100000,100000,0,0,0,1,2,2,1,1,4,5
6,8,0,998,152104,165130,0,0,0,2,8,8,1,1,4,6
0,2,1,967,49736,62170,0,0,0,1,4,4,2,2,4,0
1,6,1,973,50928,63659,0,0,0,1,6,6,2,2,4,1
4,8,1,983,51233,64041,0,0,0,1,4,4,3,3,4,2
0,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,3
1,2,1,0,100000,100000,0,0,0,1,2,2,1,1,4,4
1,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,5
2,4,1,0,100000,100000,0,0,0,1,2,2,1,1,4,6
2,7,1,0,100000,100000,0,0,0,1,2,2,1,1,4,7
0,1,1,913,147385,159231,0,0,0,2,4,4,1,1,4,8
